transcript_id HELAS3 GM12878 H1HESC HEPG2 K562
ENST00000452322.1 0.0020905 0 0 0.003111 0.002599
ENST00000431803.1 0.005676 0.009347 0.0014375 0.003975 0.0194115
ENST00000438551.1 0 0 0 0 0.001971
ENST00000419644.1 0 0 0 0 0
ENST00000440767.1 0.002776 0.001404 0.004251 0.0001745 0.0012055
ENST00000451217.1 0.130526 0.014594 0.0164265 0.011635 0.0109525
ENST00000499591.1 0.000878 0.0038445 0.029882 0.0001285 0.000193
ENST00000427796.1 0.203373 0.058282 0.0691905 0.144434 0.273433
ENST00000447961.1 0.008528 0.0063475 0.003804 0.0083645 0.0218725
ENST00000411815.1 0 0 0 0 0
ENST00000439239.1 0.000693 0 0 0.002268 0
ENST00000429191.1 0 0 0 0 0
ENST00000439059.1 0 8.35e-05 0.0001115 0.0006925 0
ENST00000446220.1 0.0001695 0 0 0.000143 0
ENST00000437965.1 0.0003055 0 0 0 0
ENST00000445805.1 0.002163 0 0 0.0026545 0
ENST00000456316.1 0 0.0235715 0.0001255 0 0.0004385
ENST00000424084.1 0 0 0 0 0
ENST00000429666.1 0 0 0 0.0001945 0
ENST00000455902.1 0 0 0 0.001323 0
ENST00000450820.1 0.008655 0.0164405 0.016401 0.0093355 0.0189005
ENST00000412797.1 0.0019765 0.001879 0.0006625 0.001334 0.008329
ENST00000436991.1 0 4.05e-05 0 0 0
ENST00000455431.1 0.009257 0.0049215 0.0080935 0.0102 0.02246
ENST00000407889.2 0 0 0.000177 0 0
ENST00000414762.1 0 0 0 0 0
ENST00000433939.1 0 0 0 0 0
ENST00000444682.1 0.0014585 0 0 0 0.0003925
ENST00000448923.1 0 0 0 0 0
ENST00000457019.1 0.00169 0.002587 0.0042605 0.0020975 0.0237095
ENST00000423060.1 0.011 0.0161155 0.0059525 0.0070735 0.0104385
ENST00000448791.1 0 0 0 0 0
ENST00000425205.1 0 0.000212 0 0 0
ENST00000474826.1 0 0 0.0007495 0 0
ENST00000492975.1 0 0 0 0 0
ENST00000443579.1 0.009236 0.0113685 0.0110555 0.010122 0.149892
ENST00000440492.1 0.0002 0.0029585 0.0002785 0.0010095 0.000446
