filename	NHEK	K562	HELAS3	GM12878	H1HESC
ENST00000428276.1	0	0	0	0	0
ENST00000524085.2	0	0	0	0	0
ENST00000438198.1	0.00303867	0.0127995	0	0.0022335	0.386495
ENST00000505122.1	0	0.008618	0	0	0.025687
ENST00000517343.1	0	0	0.004122	0	0
ENST00000518674.1	0	0	0.013126	0.014742	0
ENST00000505364.1	0.054099	0.296096	0.277547	0.284909	0.323502
ENST00000528233.1	0.031272	0.282154	0.050393	0.081059	0.0591635
ENST00000503186.1	0	0	0	0	0
ENST00000515286.1	0.0221223	0	0.0060395	0.0275675	0.018361
ENST00000418244.1	0	0.383114	0.031919	0.002142	7.89306
ENST00000417034.1	0.423315	0.041714	0.553087	0.336286	0.499335
ENST00000526176.1	1.36249	6.07273	4.58586	5.16892	2.54725
ENST00000429134.1	0.148826	0.684414	0.719596	0.450288	0.35516
ENST00000428166.1	0	0.026933	0.0113425	0.014432	0.015817
ENST00000439298.1	0.171455	0.188667	1.27009	0.324421	0.456924
ENST00000519400.1	0.0232457	0	0.0035245	0	0
ENST00000508752.1	0.04461	0.0137755	0.508707	0.062052	0.0606595
ENST00000505133.1	1.70385	0.546474	0.3885	0.485016	0.559947
ENST00000505254.1	0.0226517	0.012882	0.146085	0.183792	0.096125
ENST00000517475.1	0	0.000821	0	0	0
ENST00000504165.1	0	0	0	0	0
ENST00000419223.1	0.00508233	0.285984	0	0	0
ENST00000418134.1	0.0222693	0	0.138963	0	0
ENST00000418255.1	0.23624	0.0491655	0.204484	0.010272	0.0116355
ENST00000428298.1	0	0	0	0	0
ENST00000508521.1	0.00327967	2.00948	0	2.12588	0.188327
ENST00000507311.1	0	0	0	0	0
ENST00000519411.1	0	0	0	0	0
ENST00000508763.1	0.088753	0.0373445	0	0.061629	0
ENST00000508884.1	0.0188987	0	0.0097035	0.129672	0
ENST00000507674.1	0	0	0.021247	0	0
ENST00000517365.1	0.00523833	0.0240695	0.113786	0	0
ENST00000505386.1	0	0	0	0	0
ENST00000504297.1	0	0	0	0	0.0325955
ENST00000528497.1	0	0	0.0092015	0	0.0412635
ENST00000539266.1	0	0	0	0	0
ENST00000418387.1	0.020233	0	0.020037	0	0.0130375
ENST00000429156.1	210.988	0	0.010933	2.61899	11.6969
ENST00000417298.1	0	0	0	0.0669715	0
ENST00000429398.1	0	0	0.0242215	0.008039	0
ENST00000428188.1	0	0	0	0	0
ENST00000507322.1	0	0.62738	0.005214	0.0012765	0.003672
ENST00000509984.1	0.00331433	0.0773755	0.009706	0.0244265	0.012539
ENST00000506475.1	0	0	0.0909815	0	0
ENST00000515077.1	0.011603	0	0	0	0
ENST00000538067.1	0	0	0	0	0
ENST00000429167.1	0.0212437	0.179003	0.530558	0.171978	0.145658
ENST00000537099.1	13.3278	0.780496	0.377895	3.71779	2.75834
ENST00000418254.2	0	0.013043	0.093291	0.0107035	0.128619
ENST00000508664.1	1.19683	0.0161585	0.464836	0.469737	1.4906
ENST00000518465.1	0	1.38326	0	0.151704	0
ENST00000505155.1	0.069859	0.042544	0.0055245	0.026997	0
ENST00000506486.1	0.0117277	0.025367	0.013895	0.05093	0.035598
ENST00000529234.1	0.0206963	0	0	0.096017	0.0075755
ENST00000517376.1	0	0	0	0	0.0937595
ENST00000419003.1	0.035494	0.042499	3.46576	0	0.091075
ENST00000504175.2	0	0.003259	0	0	0
ENST00000451090.1	0	0	0	0	0.0826265
ENST00000509643.1	0	0.0215445	0	0.031058	0.0036175
