filename,NHEK,HMEC,AG04450,K562,MCF7,HUVEC,BJ,HSMM,HELAS3,GM12878,NHLF,H1HESC,A549,SKNSHRA,HEPG2,CSHL_WholeCell_LPA+-_15CellLines
ENST00000431752.1,0,0,0,0.0184905,0,0.0048865,0,0,0.0385125,0.169372,0.0031685,0.0819265,0.0347985,0.0906,0.052686,
ENST00000430542.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000454863.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000442884.1,0.170652,0.035212,0.088745,0.23354,0.375089,0.249604,0.063558,0.0275995,0.370584,0.683188,0.007138,0.189066,0.350159,0.154105,0.41217,
ENST00000452322.1,2.98055,2.25021,6.20196,7.57,4.31387,4.08523,9.47547,3.3354,11.3197,4.61003,3.50453,8.6654,10.2876,8.23414,6.45807,
ENST00000453774.1,0.00105933,0,0,0,0.055361,0,0,0,0,1.81561,0,0.006368,0,0,0,
ENST00000453895.1,0.0944467,0,0.003448,0.010719,0.050709,0.082553,0,0.006675,0.010266,0.158438,0.0057135,0.127817,0.0871985,0.079192,0,
ENST00000452685.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000499512.1,0.251455,0.115764,0.279679,0.25333,0.180164,0.163679,0.268123,0.161883,0.233562,0.471029,0.121828,0.455321,0.235158,0.13409,0.190389,
ENST00000451596.1,0.0213757,0.00197,0.0084105,0,0.0199705,0.078025,0.0036635,0,0.034253,0,0.475151,0.0187485,1.70883,0.0719545,0.008426,
ENST00000461034.1,0.002888,0,0.0221725,0.0029935,0.005204,0,0.0335385,0.290449,0,0,0.492329,0.0292015,0.013951,0.276138,0,
ENST00000499996.1,17.4217,9.388,20.0665,50.1161,40.0352,8.00278,17.139,14.0059,48.5567,37.5337,17.4573,14.5783,44.3505,18.6327,17.1574,
ENST00000506519.1,0,0,0.0055685,0,0,0,0.00804,0,0,0.0717555,0,0,0,0,0,
ENST00000518619.1,0,0,0,0,0,0,0,0,0,0,0,0.009187,0.0029395,1.42071,0,
ENST00000505528.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014922,0,
ENST00000443621.1,0.00475367,0,0,0,0,0,0,0,0,0,0,0,0,0.0110915,0,
ENST00000432973.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000442411.1,0.00209833,0.312036,0.0034475,0.001655,0,0,0,0.0013335,0.760145,0,0,0.012466,0.0033185,0.00162,2.66678,
ENST00000442532.1,0.001686,0.005229,0.0484475,0,0.224521,0.0191,0.189697,0.0089425,0.111971,0.0856095,0.0208335,0.054583,0.153394,0.233384,0.0641565,
ENST00000455963.1,0.00452333,0.002462,0.0608695,0.014657,0,0.0053355,0.124584,0,0.0084975,0,0.105281,0.0052305,0.002028,0.0054595,0,
ENST00000454753.1,0,0,0.0041895,0.001553,0.0084165,0.0397755,0,0.0025025,0.021775,0,0,0,0.015797,0.0015205,0.029331,
ENST00000452212.1,0.05406,0.011327,0.034529,0.080173,0.103321,0.0284105,0.0505745,0.116147,0.0980885,0.0819225,0.0348305,0.0789815,0.157635,0.149238,0.0563355,
ENST00000450155.1,0.0147843,0.01832,0.013456,0.090929,0.0348605,0.0161005,0.029794,0.013662,0.0486275,0.450025,0.0255525,0.009695,0,0.020934,0.0334945,
ENST00000451486.1,0.169825,0.016216,0.168686,0.385295,0.652784,0.029967,0.248472,0.0294,0.309992,0.262163,0.0605695,0.191355,0.197044,0.174521,0.309339,
ENST00000450397.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000499765.1,0.011041,0.010522,0.04699,0.082601,0.061052,0.031563,0.0548625,0.011836,0.183525,0.124291,0.0427795,0.14723,0.0921285,0.102739,0.102504,
ENST00000462497.1,0.58942,1.4064,0.092721,0,3.17172,0.126139,0.262769,0.464852,0,0,0.8911,1.63799,0.415206,0.456769,0,
ENST00000508829.1,0.00753133,0,0,0,0,0,0,0,0,0.0156665,0,0,0,0,0,
ENST00000422930.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000540300.1,0.263788,0.531603,0.086809,0.295634,0.282582,0.22146,0.147238,0.070929,0.544908,0.235364,0.0805965,0.2195,0.60858,0.241578,0.751653,
ENST00000444963.1,0,0,0,0,0,0,0.007469,0,0,0,0,0,0,0,0,
ENST00000432984.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000454401.1,0,0,0,0,0,0,0,0,0,0.0090805,0,0,0.0303835,0,0,
ENST00000443753.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000431774.1,0,0,0,0,0,0,0,0,0.089558,0,0,0,0.120443,0,0,
ENST00000441212.1,0.055509,0.007338,0.04007,0,0,0.0053335,0.004412,0.03423,0.0264165,0,0,0.0578455,0,0.004066,0,
ENST00000455853.1,0,0,1.45032,0,0.0011035,0,0.059995,0.0222675,31.1738,0,0.0068705,0,19.4088,1.07761,5.1875,
ENST00000443874.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENST00000440002.1,0,0,0,0,0,0,0,0,0,0.139312,0,0,0,0,0,
ENST00000455974.1,0,0,0,0.031463,0,0.754915,0,0,0,0.0499695,0,0,0,0,0,
ENST00000440123.1,0.00341333,0.010948,0.034418,0.0496665,0.027,0.0144585,0.097993,0.006095,0.040468,0.0383925,0.010434,0.050563,0.0328055,0.12483,0.022961,
ENST00000442785.1,0,0,0,0.0360295,0.0508455,0,0.018669,0,0.828383,0.441783,0,0.0917975,0.014749,0,2.7568,
ENST00000453554.1,0.308712,0.0964,0.505528,0.084618,0,0.165105,0.438287,0.0952935,0.0460525,0.0154585,0.17099,0.824157,0.624605,0.0207735,0.094029,
ENST00000440244.1,0,0,0,0.243391,0.0115255,0,0,0.030443,0.017957,0,0,0.023952,0.0112375,0,0,
ENST00000441575.1,0,0,0,0,0,0,0,0,0,0.472554,0,0,0,0,0,
ENST00000452465.1,0.001956,0,0.0068095,0.01242,0.070613,0,0.0084415,0.003377,0.050618,0.01889,0.025887,0.0850165,0.176173,0.107248,0.0236155,
ENST00000440221.2,0,0,0,0.007646,0.00906,0,0,0,0.286632,0,0,0.00592,0,0,0.0840305,
ENST00000450287.1,0.000386667,0,0.01371,0,0.0059605,0.009628,0.0115505,0.042845,0.005736,0.0229415,0.0017665,0.043401,0.00188,0.0048135,0.0348195,
